book_id	title	author_name	publisher	genre
1	무례한 사람에게 웃으며 대처하는 법	정문정	가나출판사	에세이
2	신경 끄기의 기술	마크 맨슨/한재호	갤리온	에세이
3	82년생 김지영	조남주	민음사	소설
4	나의 영어 사춘기	이시원	시원스쿨닷컴	학습서
5	언어의 온도	이기주	말글터	에세이
6	나는 나로 살기로 했다 (겨울 스페셜 에디션)	김수현	마음의숲	에세이
7	나미야 잡화점의 기적	히가시노 게이고/양윤옥	현대문학	소설
8	말 그릇	김윤나	카시오페아	에세이
9	연애의 행방	히가시노 게이고/양윤옥	소미미디어	소설
10	마법천자문 41	김창환/홍거북/김성재/올댓스토리	아울북	아동도서
11	ETS 토익 정기시험 기출문제집 RC 리딩	ETS	YBM(와이비엠)	학습서
12	[예약판매] 91층 나무 집	신수진/앤디 그리피스/테리 덴톤	시공주니어	아동도서
13	중국어 천재가 된 홍 대리	문정아	다산북스	학습서
14	불행 피하기 기술	유영미/롤프 도벨리	인플루엔셜	에세이
15	ETS 토익 정기시험 기출문제집 LC 리스닝	ETS	YBM(와이비엠)	학습서
16	영어회화 100일의 기적	문성현	넥서스	학습서
17	개인주의자 선언	문유석	문학동네	에세이
18	미중전쟁 1	김진명	쌤앤파커스	소설
19	랩걸 Lab Girl	김희정/호프 자런/신혜우	알마	에세이
20	해커스 토익 Reading (2018 최신개정판)	데이비드 조	해커스어학연구소	학습서
