transaction_id	patron_id	book_id	transaction_date	transaction_year	transaction_month
1	8	2	3/5/2017	2017	3
2	12	18	3/11/2011	2011	3
3	2	4	2/13/2013	2013	2
4	7	13	8/5/2015	2015	8
5	5	20	7/24/2016	2016	7
6	9	2	4/18/2017	2017	4
7	5	20	6/17/2010	2010	6
8	14	12	5/3/2012	2012	5
9	14	13	8/18/2016	2016	8
10	14	13	8/2/2012	2012	8
11	10	19	12/11/2017	2017	12
12	1	4	2/2/2018	2018	2
13	2	12	12/1/2017	2017	12
14	11	6	12/19/2016	2016	12
15	2	17	2/11/2020	2020	2
16	8	10	4/7/2015	2015	4
17	9	5	5/2/2012	2012	5
18	3	3	7/17/2012	2012	7
19	14	7	7/16/2011	2011	7
20	11	7	1/1/2010	2010	1
21	1	20	6/5/2016	2016	6
22	9	11	7/4/2011	2011	7
23	6	11	10/19/2018	2018	10
24	2	13	8/30/2015	2015	8
25	14	11	4/7/2015	2015	4
26	7	5	8/27/2013	2013	8
27	15	16	10/2/2013	2013	10
28	7	10	8/16/2012	2012	8
29	3	19	4/25/2019	2019	4
30	12	8	8/10/2015	2015	8
31	7	19	2/6/2017	2017	2
32	14	3	1/10/2019	2019	1
33	2	13	7/25/2011	2011	7
34	13	2	5/9/2010	2010	5
35	4	8	3/17/2010	2010	3
36	12	10	2/23/2010	2010	2
37	7	12	9/18/2011	2011	9
38	2	3	11/5/2012	2012	11
39	15	10	2/29/2012	2012	2
40	10	17	10/8/2018	2018	10
41	10	19	9/11/2015	2015	9
42	9	8	4/13/2015	2015	4
43	7	7	7/24/2012	2012	7
44	14	17	4/23/2015	2015	4
45	4	18	4/29/2011	2011	4
46	11	18	1/28/2010	2010	1
47	3	15	2/12/2018	2018	2
48	6	11	12/24/2016	2016	12
49	14	10	11/6/2016	2016	11
50	14	10	9/29/2011	2011	9
51	15	8	5/19/2019	2019	5
52	10	1	8/30/2018	2018	8
53	2	17	5/12/2011	2011	5
54	3	7	1/4/2011	2011	1
55	3	10	9/12/2013	2013	9
56	9	14	2/16/2019	2019	2
57	1	10	3/5/2012	2012	3
58	3	12	6/7/2015	2015	6
59	5	4	3/7/2017	2017	3
60	13	2	8/31/2013	2013	8
61	3	14	10/22/2012	2012	10
62	8	4	7/11/2019	2019	7
63	3	10	2/7/2011	2011	2
64	4	18	5/13/2011	2011	5
65	10	5	4/3/2011	2011	4
66	8	16	8/8/2015	2015	8
67	8	15	11/16/2011	2011	11
68	1	15	3/28/2020	2020	3
69	15	17	2/19/2020	2020	2
70	7	1	10/6/2014	2014	10
71	1	17	9/19/2017	2017	9
72	3	7	2/26/2015	2015	2
73	5	6	10/18/2016	2016	10
74	1	2	3/3/2018	2018	3
75	6	19	9/12/2014	2014	9
76	2	3	11/27/2017	2017	11
77	12	12	1/16/2016	2016	1
78	15	14	2/10/2010	2010	2
79	12	10	1/28/2012	2012	1
80	4	17	3/30/2012	2012	3
81	3	6	4/10/2010	2010	4
82	1	9	10/4/2017	2017	10
83	9	17	4/20/2013	2013	4
84	5	20	11/13/2014	2014	11
85	5	4	8/18/2012	2012	8
86	15	3	2/6/2017	2017	2
87	3	9	1/25/2011	2011	1
88	14	10	11/1/2018	2018	11
89	13	8	1/27/2010	2010	1
90	4	11	2/15/2013	2013	2
91	10	2	2/15/2014	2014	2
92	8	8	12/15/2017	2017	12
93	5	5	4/23/2016	2016	4
94	12	16	2/9/2016	2016	2
95	9	14	5/22/2017	2017	5
96	2	15	2/5/2013	2013	2
97	9	1	1/19/2010	2010	1
98	3	16	1/4/2018	2018	1
99	3	3	8/28/2017	2017	8
100	4	19	4/23/2018	2018	4
101	8	3	4/22/2013	2013	4
102	2	19	4/11/2010	2010	4
103	6	16	3/28/2016	2016	3
104	7	10	10/26/2015	2015	10
105	6	20	6/22/2017	2017	6
106	5	10	7/8/2019	2019	7
107	7	13	10/13/2010	2010	10
108	14	2	7/12/2014	2014	7
109	2	16	5/29/2014	2014	5
110	5	19	3/11/2013	2013	3
111	13	14	2/7/2017	2017	2
112	5	11	8/29/2018	2018	8
113	6	4	7/8/2017	2017	7
114	6	2	7/3/2016	2016	7
115	12	20	9/28/2010	2010	9
116	10	8	4/2/2018	2018	4
117	14	6	9/25/2011	2011	9
118	6	6	4/10/2013	2013	4
119	11	6	8/29/2012	2012	8
120	14	10	2/6/2011	2011	2
121	4	5	2/14/2014	2014	2
122	1	18	3/27/2015	2015	3
123	8	18	6/12/2018	2018	6
124	7	7	12/5/2010	2010	12
125	7	18	5/8/2013	2013	5
126	4	2	12/26/2015	2015	12
127	10	17	3/15/2018	2018	3
128	9	14	2/11/2011	2011	2
129	14	13	7/19/2014	2014	7
130	14	20	5/31/2017	2017	5
131	15	14	7/28/2014	2014	7
132	6	15	7/4/2018	2018	7
133	3	15	1/22/2014	2014	1
134	5	14	3/30/2018	2018	3
135	1	17	11/7/2019	2019	11
136	11	12	8/14/2015	2015	8
137	2	19	2/8/2011	2011	2
138	15	15	3/10/2020	2020	3
139	15	18	8/23/2012	2012	8
140	1	4	10/25/2014	2014	10
141	6	14	11/17/2015	2015	11
142	6	18	5/3/2010	2010	5
143	15	7	8/15/2019	2019	8
144	8	15	2/5/2015	2015	2
145	3	6	10/14/2019	2019	10
146	6	15	10/2/2010	2010	10
147	4	11	6/25/2017	2017	6
148	1	8	8/18/2014	2014	8
149	9	12	4/7/2016	2016	4
150	5	19	11/13/2017	2017	11
151	10	12	12/8/2016	2016	12
152	4	5	4/4/2020	2020	4
153	8	16	7/12/2011	2011	7
154	9	18	2/14/2019	2019	2
155	13	11	7/30/2017	2017	7
156	10	17	9/21/2018	2018	9
157	14	20	9/12/2015	2015	9
158	6	18	7/16/2014	2014	7
159	11	7	7/15/2011	2011	7
160	13	7	10/9/2014	2014	10
161	8	20	7/14/2011	2011	7
162	10	3	2/26/2012	2012	2
163	10	8	10/17/2013	2013	10
164	6	14	12/24/2017	2017	12
165	5	20	2/27/2018	2018	2
166	10	20	6/20/2011	2011	6
167	14	9	7/8/2017	2017	7
168	2	8	7/9/2018	2018	7
169	12	11	9/29/2011	2011	9
170	12	16	5/7/2012	2012	5
171	10	13	1/11/2018	2018	1
172	6	16	10/2/2019	2019	10
173	15	15	2/8/2011	2011	2
174	12	9	8/13/2017	2017	8
175	2	10	4/17/2012	2012	4
176	11	9	4/17/2014	2014	4
177	15	2	2/18/2011	2011	2
178	8	18	5/9/2010	2010	5
179	4	4	12/8/2010	2010	12
180	14	3	1/26/2012	2012	1
181	4	14	1/29/2016	2016	1
182	14	15	6/15/2012	2012	6
183	3	13	1/29/2012	2012	1
184	12	6	7/6/2014	2014	7
185	12	10	12/18/2019	2019	12
186	11	18	9/13/2019	2019	9
187	1	13	3/5/2015	2015	3
188	12	16	8/22/2017	2017	8
189	1	17	8/14/2016	2016	8
190	9	5	12/11/2011	2011	12
191	3	1	2/11/2013	2013	2
192	1	2	10/11/2015	2015	10
193	15	8	6/14/2013	2013	6
194	5	4	12/15/2010	2010	12
195	12	3	5/27/2016	2016	5
196	15	9	4/28/2012	2012	4
197	15	8	10/10/2010	2010	10
198	12	20	7/26/2016	2016	7
199	15	3	12/22/2010	2010	12
200	10	14	1/15/2010	2010	1
